** CoAP Proxy at: coap://localhost:5683
BasicForwardingProxy2 started.
[DBG] 3959344059290 COAP_RECEIVED 16351_81972A65
[DBG] 3959348388824 COAP_TRANSLATED 16351_81972A65
[DBG] 3959358602112 COAP_RECEIVED 16352_600655E3
[DBG] 3959358971356 COAP_TRANSLATED 16352_600655E3
[DBG] 3959430461153 COAP_RECEIVED 16353_CEC05C96
[DBG] 3959430987437 COAP_TRANSLATED 16353_CEC05C96
[DBG] 3959506132921 COAP_RECEIVED 16354_29B38D79
[DBG] 3959506477991 COAP_TRANSLATED 16354_29B38D79
[DBG] 3959581921639 COAP_RECEIVED 16355_5BF9E9E7
[DBG] 3959582249810 COAP_TRANSLATED 16355_5BF9E9E7
[DBG] 3959657859102 COAP_RECEIVED 16356_D1CF9D05
[DBG] 3959658144431 COAP_TRANSLATED 16356_D1CF9D05
[DBG] 3959734021789 COAP_RECEIVED 16357_39AA2712
[DBG] 3959734331493 COAP_TRANSLATED 16357_39AA2712
[DBG] 3959805972449 COAP_RECEIVED 16358_F2316416
[DBG] 3959806290635 COAP_TRANSLATED 16358_F2316416
[DBG] 3959881826847 COAP_RECEIVED 16359_F10D556C
[DBG] 3959882117542 COAP_TRANSLATED 16359_F10D556C
[DBG] 3959957843315 COAP_RECEIVED 16360_E84D4295
[DBG] 3959958157128 COAP_TRANSLATED 16360_E84D4295
[DBG] 3960033982007 COAP_RECEIVED 16361_8A754668
[DBG] 3960034311411 COAP_TRANSLATED 16361_8A754668
[DBG] 3960109853937 COAP_RECEIVED 16362_35552D18
[DBG] 3960110200343 COAP_TRANSLATED 16362_35552D18
[DBG] 3960185861869 COAP_RECEIVED 16363_ECA83C7B
[DBG] 3960186198139 COAP_TRANSLATED 16363_ECA83C7B
[DBG] 3960261881674 COAP_RECEIVED 16364_7E5698C1
[DBG] 3960262159464 COAP_TRANSLATED 16364_7E5698C1
[DBG] 3960338005793 COAP_RECEIVED 16365_D486445F
[DBG] 3960338454384 COAP_TRANSLATED 16365_D486445F
[DBG] 3960414040563 COAP_RECEIVED 16366_A2A4D4C0
[DBG] 3960414420295 COAP_TRANSLATED 16366_A2A4D4C0
[DBG] 3960468505554 HTTP_RECVD_SUCCESS 16351_81972A65
[DBG] 3960468507582 HTTP_RECVD_SUCCESS 16353_CEC05C96
[DBG] 3960468507665 HTTP_RECVD_SUCCESS 16352_600655E3
[DBG] 3960472842552 HTTP_TRANSLATED 16351_81972A65
[DBG] 3960472846527 HTTP_TRANSLATED 16353_CEC05C96
[DBG] 3960472846471 HTTP_TRANSLATED 16352_600655E3
[DBG] 3960490042211 COAP_RECEIVED 16367_06193C0A
[DBG] 3960490359620 COAP_TRANSLATED 16367_06193C0A
[DBG] 3960512822051 HTTP_RECVD_SUCCESS 16354_29B38D79
[DBG] 3960513213133 HTTP_TRANSLATED 16354_29B38D79
[DBG] 3960566273657 COAP_RECEIVED 16368_76D8CAE1
[DBG] 3960566696708 COAP_TRANSLATED 16368_76D8CAE1
[DBG] 3960587959047 HTTP_RECVD_SUCCESS 16355_5BF9E9E7
[DBG] 3960588487942 HTTP_TRANSLATED 16355_5BF9E9E7
[DBG] 3960641965805 COAP_RECEIVED 16369_AA0C3FDA
[DBG] 3960642264265 COAP_TRANSLATED 16369_AA0C3FDA
[DBG] 3960663108269 HTTP_RECVD_SUCCESS 16356_D1CF9D05
[DBG] 3960663468970 HTTP_TRANSLATED 16356_D1CF9D05
[DBG] 3960718174431 COAP_RECEIVED 16370_95AE25C5
[DBG] 3960718574021 COAP_TRANSLATED 16370_95AE25C5
[DBG] 3960739357485 HTTP_RECVD_SUCCESS 16357_39AA2712
[DBG] 3960739730478 HTTP_TRANSLATED 16357_39AA2712
[DBG] 3960794108750 COAP_RECEIVED 16371_EF9F4E79
[DBG] 3960794513120 COAP_TRANSLATED 16371_EF9F4E79
[DBG] 3960812097374 HTTP_RECVD_SUCCESS 16358_F2316416
[DBG] 3960812460829 HTTP_TRANSLATED 16358_F2316416
[DBG] 3960870155050 COAP_RECEIVED 16372_290428B1
[DBG] 3960870603022 COAP_TRANSLATED 16372_290428B1
[DBG] 3960887845929 HTTP_RECVD_SUCCESS 16359_F10D556C
[DBG] 3960888263371 HTTP_TRANSLATED 16359_F10D556C
[DBG] 3960946209307 COAP_RECEIVED 16373_3851AF88
[DBG] 3960946673624 COAP_TRANSLATED 16373_3851AF88
[DBG] 3960963931596 HTTP_RECVD_SUCCESS 16360_E84D4295
[DBG] 3960964296108 HTTP_TRANSLATED 16360_E84D4295
[DBG] 3961022130161 COAP_RECEIVED 16374_0A79C8E7
[DBG] 3961022406818 COAP_TRANSLATED 16374_0A79C8E7
[DBG] 3961039444796 HTTP_RECVD_SUCCESS 16361_8A754668
[DBG] 3961039792903 HTTP_TRANSLATED 16361_8A754668
[DBG] 3961098117185 COAP_RECEIVED 16375_67553B15
[DBG] 3961098561463 COAP_TRANSLATED 16375_67553B15
[DBG] 3961115701941 HTTP_RECVD_SUCCESS 16362_35552D18
[DBG] 3961116051434 HTTP_TRANSLATED 16362_35552D18
[DBG] 3961173893778 COAP_RECEIVED 16376_AE19C525
[DBG] 3961174267839 COAP_TRANSLATED 16376_AE19C525
[DBG] 3961192133853 HTTP_RECVD_SUCCESS 16363_ECA83C7B
[DBG] 3961192485521 HTTP_TRANSLATED 16363_ECA83C7B
[DBG] 3961250033802 COAP_RECEIVED 16377_D4934164
[DBG] 3961250437984 COAP_TRANSLATED 16377_D4934164
[DBG] 3961267827317 HTTP_RECVD_SUCCESS 16364_7E5698C1
[DBG] 3961268184582 HTTP_TRANSLATED 16364_7E5698C1
[DBG] 3961326067225 COAP_RECEIVED 16378_8FF026C3
[DBG] 3961326364879 COAP_TRANSLATED 16378_8FF026C3
[DBG] 3961344179835 HTTP_RECVD_SUCCESS 16365_D486445F
[DBG] 3961344546876 HTTP_TRANSLATED 16365_D486445F
[DBG] 3961402114675 COAP_RECEIVED 16379_5470964D
[DBG] 3961402477792 COAP_TRANSLATED 16379_5470964D
[DBG] 3961419539485 HTTP_RECVD_SUCCESS 16366_A2A4D4C0
[DBG] 3961419854210 HTTP_TRANSLATED 16366_A2A4D4C0
[DBG] 3961477946334 COAP_RECEIVED 16380_CF31DD99
[DBG] 3961478219977 COAP_TRANSLATED 16380_CF31DD99
[DBG] 3961495387327 HTTP_RECVD_SUCCESS 16367_06193C0A
[DBG] 3961495705741 HTTP_TRANSLATED 16367_06193C0A
[DBG] 3961554255963 COAP_RECEIVED 16381_CBCDDFEC
[DBG] 3961554552166 COAP_TRANSLATED 16381_CBCDDFEC
